CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
AMD A4-3330MX APU,,752,,910,,45.0,16.71,2,2013,FS1 uPGA,Laptop
AMD Athlon Dual Core 5050e,60.0,748,12.46,875,14.58,45.0,16.61,2,2009,AM2,Desktop
Dual-Core AMD Opteron 1220 SE,,748,,900,,103.0,7.26,2,2016,AM2,Server
AMD Opteron 180,119.95,746,6.22,874,7.29,110.0,6.78,2,2009,939,Server
AMD Turion II Neo N54L Dual-Core,,741,,840,,25.0,29.64,2,2011,BGA812,Laptop
AMD Turion 64 X2 Mobile TL-62,29.0,738,25.44,758,26.12,35.0,21.08,2,2009,S1,Laptop
AMD Athlon Dual Core 5600B,,737,,1003,,65.0,11.34,2,2012,AM2+,Desktop
AMD Athlon Dual Core 4850e,39.0,735,18.85,879,22.53,45.0,16.33,2,2009,AM2,Desktop
AMD Turion X2 Ultra Dual-Core Mobile ZM-85,45.0,730,16.22,828,18.4,35.0,20.86,2,2009,S1,Laptop
AMD Opteron 1216 HE,,727,,847,,65.0,11.18,2,2012,AM2,Server
AMD Athlon Dual Core 4850B,,727,,887,,45.0,16.15,2,2010,AM2+,Desktop
AMD A4-3305M APU,20.81,727,34.91,819,39.36,35.0,20.76,2,2012,FS1,Laptop
AMD E2-3000 APU,,726,,547,,15.0,48.37,2,2014,FT3,Laptop
AMD Athlon 64 X2 Dual Core 4800+,149.95,722,4.82,885,5.9,65.0,11.11,2,2008,AM2,Desktop
AMD Athlon 64 X2 Dual Core 4600+,349.95,716,2.05,839,2.4,65.0,11.02,2,2008,AM2,Desktop
AMD Athlon II P360 Dual-Core,19.95,711,35.65,879,44.04,25.0,28.45,2,2011,S1g4,Unknown
AMD Athlon 64 FX-60 Dual Core,,709,,912,,110.0,6.45,2,2009,939,Desktop
AMD Turion X2 Dual-Core Mobile RM-75,,708,,770,,35.0,20.23,2,2009,S1,Laptop
AMD Athlon Dual Core 4450e,14.48,698,48.22,812,56.08,45.0,15.52,2,2009,AM2,Desktop
AMD Opteron 1214,86.35,696,8.07,830,9.61,103.0,6.76,2,2009,AM2,Server
AMD Athlon II Dual-Core M320,30.0,696,23.19,831,27.69,35.0,19.87,2,2009,unknown,Unknown
AMD Opteron 185,,695,,884,,110.0,6.32,2,2009,939,Server
AMD Turion X2 Ultra Dual-Core Mobile ZM-86,61.0,695,11.39,820,13.44,35.0,19.84,2,2009,S1,Laptop
AMD Athlon 64 X2 Dual Core 4400+,298.95,691,2.31,787,2.63,65.0,10.63,2,2008,AM2,Desktop
AMD Turion X2 Dual Core Mobile RM-76,,691,,729,,35.0,19.76,2,2009,S1,Laptop
AMD Turion X2 Ultra Dual-Core Mobile ZM-87,39.95,689,17.25,758,18.98,35.0,19.69,2,2009,S1,Laptop
