Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
638,AMD Sempron 2800+,CPU,2004-07-28,90.0,62.0,,63.0,1600.0,Unknown,AMD,,,
639,AMD Mobile Athlon 64 2800+,CPU,2003-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
640,AMD E1-1200,CPU,2012-06-06,40.0,18.0,75.0,,1400.0,Unknown,AMD,,,
641,Intel Core i3-2340UE,CPU,2011-06-01,32.0,17.0,149.0,624.0,1300.0,Intel,Intel,,,
642,Intel Core i3-1005G1,CPU,2019-08-01,10.0,25.0,,,1200.0,Intel,Intel,,,
643,AMD Mobile Athlon 64 3000+,CPU,2003-08-01,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,
644,Intel Xeon Platinum 8270,CPU,2018-12-11,14.0,205.0,,8000.0,2700.0,Intel,Intel,,,
645,AMD Sempron 3000+,CPU,2005-07-15,90.0,25.0,,69.0,1800.0,Unknown,AMD,,,
646,Intel Atom Z560,CPU,2010-06-01,45.0,2.0,26.0,47.0,2133.0,Intel,Intel,,,
647,Intel Pentium G840,CPU,2011-05-22,32.0,65.0,131.0,504.0,2800.0,Intel,Intel,,,
648,AMD Phenom II X4 820,CPU,2009-09-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
649,AMD Opteron 43CX EE,CPU,2012-12-04,32.0,35.0,315.0,1200.0,2200.0,Unknown,AMD,,,
650,AMD Ryzen 5 PRO 2400G,CPU,2018-05-10,14.0,65.0,210.0,4950.0,3600.0,GF,AMD,,,
651,Intel Celeron G530,CPU,2011-09-04,32.0,65.0,131.0,504.0,2400.0,Intel,Intel,,,
652,AMD Ryzen 5 PRO 1500,CPU,2017-06-29,14.0,65.0,192.0,4800.0,3500.0,GF,AMD,,,
653,AMD Phenom II X4 840T,CPU,2010-09-01,45.0,95.0,346.0,904.0,2900.0,Unknown,AMD,,,
654,Intel Core i7-11700K,CPU,2021-03-16,14.0,125.0,,,3600.0,Intel,Intel,,,
655,Intel Pentium E5200,CPU,2008-08-31,45.0,65.0,82.0,228.0,2500.0,Intel,Intel,,,
656,AMD Athlon 64 3600+,CPU,2004-06-01,130.0,89.0,193.0,106.0,2400.0,Unknown,AMD,,,
657,AMD Phenom X4 9100e,CPU,2008-03-27,65.0,65.0,285.0,450.0,1800.0,Unknown,AMD,,,
658,Intel Pentium M 770,CPU,2005-01-19,90.0,27.0,84.0,140.0,2130.0,Intel,Intel,,,
659,Intel Core 2 Quad Q8200,CPU,2008-08-31,45.0,95.0,82.0,456.0,2333.0,Intel,Intel,,,
660,Intel Celeron G4920,CPU,2018-04-03,14.0,51.0,,,3200.0,Intel,Intel,,,
661,AMD Athlon 1333,CPU,2001-03-21,180.0,70.0,120.0,37.0,1333.0,Unknown,AMD,,,
662,AMD Athlon 64 3200+,CPU,2004-10-14,90.0,67.0,84.0,69.0,2000.0,Unknown,AMD,,,
663,AMD Turion X2 RM-77,CPU,2008-12-01,65.0,35.0,,,2300.0,Unknown,AMD,,,
664,AMD Phenom II X4 910e,CPU,2010-01-25,45.0,65.0,258.0,758.0,2600.0,Unknown,AMD,,,
665,Intel Atom D425,CPU,2010-06-21,45.0,10.0,66.0,123.0,1834.0,Intel,Intel,,,
666,AMD EPYC 7543P,CPU,2021-03-15,7.0,225.0,,,2800.0,TSMC,AMD,,,
667,Intel Core i3-8120,CPU,2018-09-01,14.0,65.0,,,3700.0,Intel,Intel,,,
668,Intel Core Duo T2400,CPU,2006-01-05,65.0,31.0,90.0,151.0,1826.0,Intel,Intel,,,
669,Intel Pentium 4-M 1.50,CPU,2002-04-23,130.0,26.0,131.0,55.0,1500.0,Intel,Intel,,,
670,Intel Xeon MP 3.66,CPU,2005-03-29,90.0,135.0,,,3667.0,Intel,Intel,,,
671,Intel Xeon 2.66,CPU,2002-11-18,130.0,89.0,217.0,55.0,2660.0,Intel,Intel,,,
672,Intel Celeron D 326,CPU,2004-09-22,90.0,73.0,109.0,125.0,2530.0,Intel,Intel,,,
673,Intel Pentium Dual-Core E2180,CPU,2007-08-26,65.0,65.0,77.0,105.0,2000.0,Intel,Intel,,,
674,AMD Sempron 3000+,CPU,2004-07-28,90.0,62.0,,63.0,1800.0,Unknown,AMD,,,
675,AMD A8-3510MX,CPU,2011-06-14,32.0,45.0,228.0,1178.0,1800.0,Unknown,AMD,,,
676,Intel Xeon Platinum 8380H,CPU,2021-04-06,14.0,250.0,,,2900.0,Intel,Intel,,,
677,Intel Xeon Phi SE10X,CPU,2012-11-12,22.0,300.0,350.0,5000.0,1100.0,Intel,Intel,,,
678,AMD Phenom II X3 740 BE,CPU,2009-09-01,45.0,95.0,258.0,758.0,3000.0,Unknown,AMD,,,
679,AMD Athlon Gold PRO 3150G,CPU,2020-07-21,12.0,65.0,,,3500.0,GF,AMD,,,
680,AMD Opteron 252,CPU,2005-02-14,90.0,92.0,,106.0,2600.0,Unknown,AMD,,,
681,Intel Core i5-6400,CPU,2015-07-02,14.0,65.0,177.0,,2700.0,Intel,Intel,,,
682,Intel Atom Z550,CPU,2009-04-08,45.0,2.0,26.0,47.0,2000.0,Intel,Intel,,,
683,AMD Athlon II X4 620,CPU,2009-09-16,45.0,95.0,169.0,300.0,2600.0,Unknown,AMD,,,
684,AMD Ryzen Threadripper 1950X,CPU,2017-08-10,14.0,180.0,213.0,9600.0,3400.0,GF,AMD,,,
685,Intel Xeon E5-2420 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2200.0,Intel,Intel,,,
686,AMD A6-5350M,CPU,2013-06-01,32.0,35.0,246.0,1178.0,2900.0,Unknown,AMD,,,
687,AMD Phenom X4 9550,CPU,2008-03-27,65.0,95.0,285.0,450.0,2200.0,Unknown,AMD,,,
688,Intel Core 2 Duo E7200,CPU,2008-04-20,45.0,65.0,82.0,228.0,2533.0,Intel,Intel,,,
689,Intel Xeon Platinum 8368Q,CPU,2021-04-06,10.0,270.0,,,2600.0,Intel,Intel,,,
690,Intel Core Duo ULV L2500,CPU,2006-06-28,65.0,9.0,90.0,151.0,1200.0,Intel,Intel,,,
