Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
154,AMD Sempron LE-1300,CPU,2007-10-08,65.0,45.0,,,2300.0,Unknown,AMD,,,
160,AMD E1-1500,CPU,2013-01-06,40.0,18.0,75.0,,1480.0,Unknown,AMD,,,
161,AMD A10-9700E,CPU,2017-07-27,28.0,35.0,246.0,1178.0,3000.0,Unknown,AMD,,,
165,AMD Opteron 6274,CPU,2011-11-14,32.0,115.0,316.0,2400.0,2200.0,Unknown,AMD,,,
166,AMD Ryzen 7 1800X,CPU,2017-03-02,14.0,95.0,192.0,4800.0,3600.0,GF,AMD,,,
168,AMD Ryzen 3 3200U,CPU,2019-01-06,12.0,15.0,210.0,4940.0,2600.0,GF,AMD,,,
170,AMD Athlon 700,CPU,2000-06-05,180.0,40.0,120.0,37.0,700.0,Unknown,AMD,,,
171,AMD Athlon 64 2700+,CPU,2004-04-27,130.0,32.0,144.0,69.0,1600.0,Unknown,AMD,,,
172,AMD Ryzen 7 2700X,CPU,2018-04-19,12.0,105.0,192.0,4800.0,3700.0,GF,AMD,,,
173,AMD Ryzen Embedded V1807B,CPU,2018-02-21,14.0,45.0,210.0,4950.0,3350.0,GF,AMD,,,
174,AMD Athlon II X3 415e,CPU,2010-05-11,45.0,45.0,169.0,300.0,2500.0,Unknown,AMD,,,
176,AMD FX-8320,CPU,2012-10-23,32.0,125.0,315.0,1200.0,3500.0,Unknown,AMD,,,
178,AMD Opteron 6386 SE,CPU,2012-11-05,32.0,140.0,315.0,2400.0,2800.0,Unknown,AMD,,,
179,AMD Opteron X2 875,CPU,2005-09-26,90.0,95.0,,233.0,2200.0,Unknown,AMD,,,
181,AMD Phenom II X6 1100T BE,CPU,2010-12-07,45.0,125.0,346.0,904.0,3300.0,Unknown,AMD,,,
187,AMD Opteron 144,CPU,2005-08-02,90.0,67.0,,106.0,1800.0,Unknown,AMD,,,
190,AMD Opteron 242,CPU,2004-05-18,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,
195,AMD Phenom II X4 910,CPU,2009-02-09,45.0,95.0,258.0,758.0,2600.0,Unknown,AMD,,,
196,AMD EPYC 73F3,CPU,2021-03-15,7.0,240.0,,,3500.0,TSMC,AMD,,,
197,AMD Sempron 2500+,CPU,2004-07-28,130.0,62.0,80.0,37.0,1750.0,Unknown,AMD,,,
199,AMD EPYC 7601,CPU,2017-06-29,14.0,180.0,213.0,4800.0,2200.0,GF,AMD,,,
202,AMD Phenom X4 9850 BE,CPU,2008-03-27,65.0,125.0,285.0,450.0,2500.0,Unknown,AMD,,,
203,AMD Ryzen 3 3100,CPU,2020-04-24,7.0,65.0,74.0,3800.0,3600.0,TSMC,AMD,,,
206,AMD Athlon 64 FX-62,CPU,2006-05-23,90.0,125.0,220.0,243.0,2800.0,Unknown,AMD,,,
207,AMD Athlon X2 7750 BE,CPU,2008-12-15,65.0,95.0,285.0,450.0,2700.0,Unknown,AMD,,,
215,AMD FX-6120,CPU,2012-10-23,32.0,95.0,315.0,1200.0,3600.0,Unknown,AMD,,,
218,AMD Opteron 248 HE,CPU,2005-03-01,90.0,55.0,,106.0,2200.0,Unknown,AMD,,,
219,AMD Opteron X2 290,CPU,2006-01-01,90.0,95.0,,233.0,2800.0,Unknown,AMD,,,
221,AMD Athlon II X4 610e,CPU,2010-05-11,45.0,45.0,169.0,300.0,2400.0,Unknown,AMD,,,
224,AMD Sempron 2800+,CPU,2006-05-23,90.0,62.0,103.0,81.0,1600.0,Unknown,AMD,,,
225,AMD FX-9590,CPU,2013-07-06,32.0,220.0,315.0,1200.0,4700.0,Unknown,AMD,,,
227,AMD EPYC 7443P,CPU,2021-03-15,7.0,200.0,,,2850.0,TSMC,AMD,,,
229,AMD Phenom II X6 1055T (95W),CPU,2010-05-01,45.0,95.0,346.0,904.0,2800.0,Unknown,AMD,,,
230,AMD A4-4000,CPU,2013-06-01,32.0,65.0,246.0,1178.0,3000.0,Unknown,AMD,,,
231,AMD Phenom X4 9650,CPU,2008-03-27,65.0,95.0,285.0,450.0,2300.0,Unknown,AMD,,,
232,AMD Athlon XP 2600+,CPU,2003-09-01,130.0,68.0,,63.0,2083.0,Unknown,AMD,,,
234,AMD Ryzen Threadripper 1900X,CPU,2017-08-31,14.0,125.0,213.0,9600.0,3800.0,GF,AMD,,,
239,AMD Opteron 6282 SE,CPU,2011-11-14,32.0,140.0,316.0,2400.0,2600.0,Unknown,AMD,,,
243,AMD Phenom II X3 715 BE,CPU,2010-10-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
245,AMD Opteron 152,CPU,2005-08-02,90.0,104.0,,106.0,2600.0,Unknown,AMD,,,
246,AMD Sempron 3400+,CPU,2006-01-23,90.0,62.0,,69.0,2000.0,Unknown,AMD,,,
249,AMD Sempron 2600+,CPU,2004-07-28,90.0,62.0,,63.0,1600.0,Unknown,AMD,,,
251,AMD Athlon Gold PRO 3150GE,CPU,2020-07-21,12.0,35.0,,,3500.0,GF,AMD,,,
254,AMD A8-3550MX,CPU,2011-12-20,32.0,45.0,228.0,1178.0,2000.0,Unknown,AMD,,,
256,AMD Phenom II X4 830,CPU,2009-09-01,45.0,95.0,258.0,758.0,2800.0,Unknown,AMD,,,
