CPUname,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
Intel Core2 Duo E6550,13.3,875,65.78,911,68.52,65.0,13.46,2,2008,LGA775,Desktop
Intel Core2 Duo P7550,229.99,868,3.78,917,3.99,25.0,34.74,2,2009,PGA478,Laptop
Intel Pentium E5200,49.94,867,17.35,1006,20.14,65.0,13.33,2,2009,LGA775,Desktop
Intel Xeon 3065,20.9,867,41.49,836,40.0,65.0,13.34,2,2009,LGA775,Server
Intel Celeron P4600,,862,,812,,35.0,24.63,2,2011,PGA988A,Laptop
Intel Celeron E3200,19.99,860,43.02,992,49.63,65.0,13.23,2,2009,LGA775,Desktop
Intel Xeon 5140,36.99,857,23.16,870,23.51,65.0,13.18,2,2009,LGA771,Server
Intel Core2 Duo P8600,49.18,853,17.35,936,19.03,25.0,34.13,2,2008,BGA479,Laptop
Intel Pentium P6100,28.44,850,29.89,831,29.21,35.0,24.29,2,2010,PGA988,Laptop
Intel Pentium 3560Y,,849,,700,,11.5,73.83,2,2013,BGA1168,Laptop
Intel Pentium P6200,24.95,847,33.94,840,33.66,35.0,24.2,2,2010,PGA988,Laptop
Intel Core i3-2377M,,845,,640,,17.0,49.71,2,2012,BGA1023,Laptop
Intel Celeron 2957U,,841,,782,,15.0,56.08,2,2014,FCBGA1168,Laptop
Intel Xeon 3050,157.95,841,5.32,672,4.26,65.0,12.93,2,2009,LGA775,Server
Intel Xeon 5150,30.99,840,27.11,999,32.23,65.0,12.92,2,2009,LGA771,Server
Intel Xeon E5205,14.27,838,58.75,788,55.24,65.0,12.9,2,2012,LGA771,Server
Intel Xeon E5502,80.0,837,10.46,799,9.98,80.0,10.46,2,2009,LGA1366,Server
Intel Celeron E3300,64.78,837,12.92,1042,16.08,65.0,12.87,2,2009,LGA775,Desktop
Intel Atom Z3580,,837,,574,,,,4,2015,unknown,"Laptop, Mobile/Embedded"
Intel Core i5-430UM,,836,,630,,18.0,46.47,2,2010,BGA1288,Laptop
Intel Celeron 2955U,,835,,765,,15.0,55.68,2,2013,FCBGA1168,Laptop
Intel Pentium P6300,,834,,772,,35.0,23.83,2,2011,PGA988,Laptop
