Unnamed: 0,CPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,price,cpuMark,cpuValue,threadMark,threadValue,TDP,powerPerf,cores,testDate,socket,category
106,Intel Core i5-10210U,CPU,2019-08-21,14.0,25.0,,,1600.0,Intel,Intel,,,,702.62,6401,9.11,2233,3.18,15.0,426.76,4,2019,FCBGA1528,Laptop
114,Intel Core i5-450M,CPU,2010-09-26,32.0,35.0,81.0,382.0,2400.0,Intel,Intel,,,,31.95,1208,37.8,1035,32.39,35.0,34.51,2,2010,PGA988A,Laptop
116,Intel Pentium G3430,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3300.0,Intel,Intel,,,,57.99,2125,36.64,1915,33.02,54.0,39.34,2,2013,FCLGA1150,Desktop
117,Intel Core i7-10610U,CPU,2020-04-02,14.0,25.0,,,1800.0,Intel,Intel,,,,409.0,7062,17.27,2362,5.78,15.0,470.77,4,2020,FCBGA1528,Laptop
118,Intel Core i5-4210U,CPU,2014-04-14,22.0,15.0,118.0,1400.0,1700.0,Intel,Intel,,,,,2300,,1379,,15.0,153.31,2,2014,FCBGA1168,Laptop
125,Intel Core i5-8600K,CPU,2017-10-05,14.0,95.0,,,3600.0,Intel,Intel,,,,235.99,10195,43.2,2609,11.05,95.0,107.32,6,2017,FCLGA1151-2,Desktop
130,Intel Core i7-8700,CPU,2018-01-01,14.0,65.0,154.0,,3200.0,Intel,Intel,,,,260.99,13046,49.99,2662,10.2,65.0,200.71,6,2017,FCLGA1151-2,Desktop
137,Intel Atom N475,CPU,2010-06-01,45.0,7.0,66.0,123.0,1834.0,Intel,Intel,,,,,179,,281,,6.5,27.61,1,2010,BGA559,Laptop
138,Intel Core i5-3350P,CPU,2012-09-03,22.0,69.0,133.0,,3100.0,Intel,Intel,,,,165.0,4237,25.68,1783,10.8,69.0,61.4,4,2012,LGA1155,Desktop
139,Intel Xeon E5-1660 v2,CPU,2013-09-01,22.0,130.0,160.0,1400.0,3700.0,Intel,Intel,,,,1798.95,10223,5.68,2073,1.15,130.0,78.64,6,2013,LGA 2011,Server
147,Intel Core i7-3840QM,CPU,2012-09-03,22.0,45.0,160.0,1400.0,2800.0,Intel,Intel,,,,548.87,5966,10.87,1954,3.56,45.0,132.57,4,2012,rPGA988B,Laptop
151,Intel Core i3-7300,CPU,2017-01-03,14.0,51.0,,,4000.0,Intel,Intel,,,,299.99,4703,15.68,2423,8.08,51.0,92.23,2,2017,FCLGA1151,Desktop
152,Intel Core i7-3520M,CPU,2012-06-03,22.0,35.0,118.0,,2900.0,Intel,Intel,,,,122.02,2879,23.59,1746,14.31,35.0,82.24,2,2012,BGA1023,Laptop
156,Intel Core i5-4200U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1600.0,Intel,Intel,,,,,2211,,1329,,15.0,147.4,2,2013,BGA1168,Laptop
157,Intel Pentium E5700,CPU,2010-08-08,45.0,65.0,82.0,228.0,3000.0,Intel,Intel,,,,49.99,1017,20.35,1169,23.39,65.0,15.65,2,2010,LGA775,Desktop
158,Intel Core i3-3110M,CPU,2012-06-01,22.0,35.0,118.0,,2400.0,Intel,Intel,,,,69.95,1609,23.0,1255,17.95,35.0,45.96,2,2012,BGA1023,Laptop
159,Intel Pentium G3420T,CPU,2013-09-01,22.0,35.0,177.0,1400.0,2700.0,Intel,Intel,,,,159.99,1912,11.95,1570,9.81,35.0,54.61,2,2014,LGA1150,Desktop
163,Intel Xeon E5620,CPU,2010-03-16,32.0,80.0,239.0,1170.0,2400.0,Intel,Intel,,,,44.16,3630,82.2,1127,25.53,80.0,45.37,4,2010,LGA1366,Server
164,Intel Core i3-3120M,CPU,2012-09-30,22.0,35.0,118.0,,2500.0,Intel,Intel,,,,129.0,1641,12.72,1270,9.85,35.0,46.89,2,2012,PGA988,Laptop
169,Intel Xeon E-2124G,CPU,2018-05-31,14.0,72.0,126.0,1400.0,3400.0,Intel,Intel,,,,229.99,7518,32.69,2749,11.95,71.0,105.89,4,2018,FCLGA1151-2,Server
175,Intel Core i5-2310,CPU,2011-05-22,32.0,95.0,216.0,1160.0,2900.0,Intel,Intel,,,,77.74,3603,46.35,1495,19.23,95.0,37.93,4,2011,LGA1155,Desktop
177,Intel Core i7-10700K,CPU,2020-04-30,14.0,125.0,,,3800.0,Intel,Intel,,,,328.98,19277,58.6,3074,9.34,125.0,154.22,8,2020,FCLGA1200,Desktop
180,Intel Celeron 877,CPU,2012-07-01,32.0,17.0,131.0,504.0,1400.0,Intel,Intel,,,,,615,,597,,17.0,36.19,2,2012,BGA1023,Laptop
182,Intel Core i3-5157U,CPU,2015-03-01,14.0,28.0,,,2500.0,Intel,Intel,,,,,2588,,1325,,28.0,92.42,2,2015,FCBGA1168,Laptop
183,Intel Core i3-4130,CPU,2013-09-01,22.0,54.0,177.0,1400.0,3400.0,Intel,Intel,,,,72.29,3291,45.52,1890,26.15,54.0,60.94,2,2013,LGA1150,Desktop
185,Intel Core i7-3632QM,CPU,2012-10-19,22.0,35.0,160.0,1480.0,2200.0,Intel,Intel,,,,89.9,4628,51.48,1581,17.59,35.0,132.22,4,2012,rPGA988B,Laptop
188,Intel Core i7-5650U,CPU,2015-03-01,14.0,15.0,,,2200.0,Intel,Intel,,,,,3007,,1925,,15.0,200.49,2,2015,FCBGA1168,Laptop
191,Intel Core i5-7600,CPU,2017-01-03,14.0,65.0,,,3500.0,Intel,Intel,,,,169.99,6598,38.81,2476,14.57,65.0,101.5,4,2017,FCLGA1151,Desktop
194,Intel Core i7-9700K,CPU,2018-10-19,14.0,95.0,,,3600.0,Intel,Intel,,,,390.99,14550,37.21,2899,7.42,95.0,153.16,8,2018,FCLGA1151-2,Desktop
198,Intel Pentium G3450,CPU,2014-05-01,22.0,54.0,177.0,1400.0,3300.0,Intel,Intel,,,,57.97,2091,36.06,1836,31.67,53.0,39.44,2,2014,FCLGA1150,Desktop
201,Intel Xeon 5140,CPU,2006-06-26,65.0,65.0,,,2333.0,Intel,Intel,,,,36.99,857,23.16,870,23.51,65.0,13.18,2,2009,LGA771,Server
204,Intel Core i7-4940MX,CPU,2014-01-20,22.0,57.0,177.0,1400.0,3100.0,Intel,Intel,,,,699.95,7060,10.09,2286,3.27,57.0,123.86,4,2014,"FPGA946,FPGA947",Laptop
208,Intel Core i7-3740QM,CPU,2012-09-03,22.0,45.0,160.0,1400.0,2700.0,Intel,Intel,,,,218.02,5708,26.18,1885,8.65,45.0,126.85,4,2012,rPGA988B,Laptop
209,Intel Core i3-4150T,CPU,2014-05-01,22.0,35.0,177.0,1400.0,2900.0,Intel,Intel,,,,417.42,2867,6.87,1597,3.83,35.0,81.9,2,2014,FCLGA1150,Desktop
210,Intel Atom N570,CPU,2011-03-01,45.0,9.0,87.0,176.0,1667.0,Intel,Intel,,,,86.0,335,3.89,282,3.28,8.5,39.4,2,2011,BGA559,Laptop
213,Intel Core i7-5820K,CPU,2014-09-01,22.0,140.0,356.0,2600.0,3300.0,Intel,Intel,,,,255.36,9814,38.43,2010,7.87,140.0,70.1,6,2014,LGA2011-v3,Desktop
214,Intel Celeron E3400,CPU,2010-01-17,45.0,65.0,82.0,228.0,2600.0,Intel,Intel,,,,14.99,829,55.32,1007,67.16,65.0,12.76,2,2010,LGA775,Desktop
222,Intel Core i3-3110M,CPU,2012-06-01,22.0,35.0,118.0,,2400.0,Intel,Intel,,,,69.95,1609,23.0,1255,17.95,35.0,45.96,2,2012,BGA1023,Laptop
223,Intel Core i7-5550U,CPU,2015-03-01,14.0,15.0,,,2000.0,Intel,Intel,,,,,2908,,1781,,15.0,193.85,2,2016,FCBGA1168,Laptop
228,Intel Celeron G1620T,CPU,2013-09-01,22.0,35.0,94.0,,2400.0,Intel,Intel,,,,42.0,1507,35.88,1321,31.44,35.0,43.05,2,2014,LGA1155,Desktop
233,Intel Core i5-4350U,CPU,2013-06-04,22.0,15.0,118.0,1400.0,1400.0,Intel,Intel,,,,,2305,,1499,,15.0,153.67,2,2013,BGA1168,Laptop
235,Intel Celeron B820,CPU,2012-07-01,32.0,35.0,131.0,504.0,1700.0,Intel,Intel,,,,29.29,789,26.94,745,25.44,35.0,22.54,2,2012,PGA988B,Laptop
236,Intel Xeon W3670,CPU,2010-08-29,32.0,130.0,239.0,1170.0,3200.0,Intel,Intel,,,,295.19,6534,22.13,1501,5.09,130.0,50.26,6,2011,LGA1366,Server
237,Intel Core i7-7740X,CPU,2017-06-26,14.0,112.0,,,4300.0,Intel,Intel,,,,225.99,9864,43.65,2805,12.41,112.0,88.07,4,2017,FCLGA2066,Desktop
238,Intel Core i7-4610M,CPU,2014-02-01,22.0,37.0,118.0,1300.0,3000.0,Intel,Intel,,,,,3002,,1740,,37.0,81.13,2,2014,"FPGA946,FPGA947",Laptop
240,Intel Celeron N2805,CPU,2013-09-11,22.0,4.0,,,1463.0,Intel,Intel,,,,,335,,394,,4.3,77.9,2,2013,FCBGA1170,Laptop
242,Intel Xeon L5609,CPU,2010-03-16,32.0,40.0,239.0,1170.0,1866.0,Intel,Intel,,,,,3298,,1160,,40.0,82.45,4,2010,LGA1366,Server
247,Intel Xeon E5603,CPU,2011-02-14,32.0,80.0,239.0,1170.0,1600.0,Intel,Intel,,,,95.19,1935,20.32,712,7.48,80.0,24.18,4,2011,LGA1366,Server
248,Intel Pentium G2100T,CPU,2012-09-03,22.0,35.0,94.0,,2600.0,Intel,Intel,,,,,1691,,1460,,35.0,48.33,2,2016,LGA1155,Desktop
252,Intel Core i7-10750H,CPU,2020-04-02,14.0,45.0,,,2600.0,Intel,Intel,,,,,12355,,2716,,45.0,274.54,6,2020,FCBGA1440,Laptop
253,Intel Celeron 887,CPU,2012-09-01,32.0,17.0,131.0,504.0,1500.0,Intel,Intel,,,,,727,,694,,17.0,42.74,2,2012,BGA1023,Laptop
255,Intel Xeon E-2124,CPU,2018-05-31,14.0,72.0,126.0,1400.0,3400.0,Intel,Intel,,,,204.99,6977,34.04,2537,12.37,71.0,98.27,4,2019,FCLGA1151-2,Server
261,Intel Pentium B980,CPU,2012-09-01,32.0,35.0,131.0,504.0,2400.0,Intel,Intel,,,,35.81,1064,29.71,1050,29.33,35.0,30.4,2,2012,FCPGA988,Laptop
263,Intel Celeron B810,CPU,2011-03-01,32.0,35.0,131.0,504.0,1600.0,Intel,Intel,,,,79.95,775,9.69,754,9.43,35.0,22.13,2,2011,PGA988B,Laptop
266,Intel Core i9-9820X,CPU,2018-10-19,14.0,165.0,,,3300.0,Intel,Intel,,,,685.0,18288,26.7,2406,3.51,165.0,110.84,10,2018,FCLGA2066,Desktop
270,Intel Core i7-990X,CPU,2011-02-24,32.0,130.0,239.0,1170.0,3466.0,Intel,Intel,,,,1500.19,7137,4.76,1600,1.07,130.0,54.9,6,2011,LGA1366,Desktop
271,Intel Core i5-9400,CPU,2018-10-19,14.0,65.0,,,2900.0,Intel,Intel,,,,139.99,9478,67.71,2479,17.71,65.0,145.82,6,2019,FCLGA1151-2,Desktop
291,Intel Celeron G1840T,CPU,2014-05-01,22.0,54.0,177.0,1400.0,2500.0,Intel,Intel,,,,,1576,,1431,,35.0,45.02,2,2015,LGA1150,Desktop
292,Intel Core i3-3120M,CPU,2012-09-30,22.0,35.0,118.0,,2500.0,Intel,Intel,,,,129.0,1641,12.72,1270,9.85,35.0,46.89,2,2012,PGA988,Laptop
294,Intel Core i7-11700T,CPU,2021-03-16,14.0,35.0,,,1400.0,Intel,Intel,,,,323.0,15271,47.28,2859,8.85,35.0,436.3,8,2021,FCLGA1200,Desktop
302,Intel Pentium 2117U,CPU,2012-09-01,22.0,17.0,118.0,1400.0,1800.0,Intel,Intel,,,,134.0,998,7.45,925,6.9,17.0,58.7,2,2013,FCBGA1023,Laptop
310,Intel Xeon W5580,CPU,2009-03-30,45.0,130.0,263.0,731.0,3200.0,Intel,Intel,,,,864.0,3386,3.92,1503,1.74,130.0,26.04,4,2009,LGA1366,Server
313,Intel Core i3-7350K,CPU,2017-01-03,14.0,60.0,,,4200.0,Intel,Intel,,,,250.8,4819,19.22,2493,9.94,60.0,80.32,2,2017,FCLGA1151,Desktop
319,Intel Core i5-9600K,CPU,2018-10-19,14.0,95.0,,,3700.0,Intel,Intel,,,,232.6,10793,46.4,2773,11.92,95.0,113.61,6,2018,FCLGA1151-2,Desktop
322,Intel Core i5-10300H,CPU,2020-09-17,14.0,45.0,,,2500.0,Intel,Intel,,,,250.0,8692,34.77,2616,10.47,45.0,193.15,4,2020,FCBGA1440,"Desktop, Laptop"
323,Intel Core i7-5557U,CPU,2015-03-01,14.0,28.0,,,3100.0,Intel,Intel,,,,605.99,3181,5.25,1947,3.21,28.0,113.62,2,2015,FCBGA1168,Laptop
324,Intel Core i7-2860QM,CPU,2011-09-04,32.0,45.0,216.0,1160.0,2500.0,Intel,Intel,,,,182.01,4607,25.31,1597,8.77,45.0,102.37,4,2011,BGA1224,Laptop
325,Intel Core i7-9750HF,CPU,2019-04-23,14.0,45.0,149.0,,2600.0,Intel,Intel,,,,395.0,11391,28.84,2539,6.43,45.0,253.14,6,2020,FCBGA1440,Laptop
328,Intel Core M-5Y70,CPU,2014-09-05,14.0,5.0,50.0,,1100.0,Intel,Intel,,,,,1807,,1049,,4.5,401.46,2,2014,BGA1234,Laptop
334,Intel Atom E3825,CPU,2013-10-08,22.0,6.0,,,1333.0,Intel,Intel,,,,70.32,385,5.47,370,5.26,6.0,64.14,2,2014,FCBGA1170,Desktop
335,Intel Celeron N2808,CPU,2014-05-22,22.0,4.0,,,1580.0,Intel,Intel,,,,,532,,596,,4.5,118.17,2,2015,FCBGA1170,Laptop
339,Intel Core i5-670,CPU,2010-01-07,32.0,73.0,81.0,382.0,3466.0,Intel,Intel,,,,291.0,2511,8.63,1542,5.3,73.0,34.4,2,2010,LGA1156,Desktop
340,Intel Xeon Platinum 8358,CPU,2021-04-06,10.0,250.0,,,2600.0,Intel,Intel,,,,5097.75,54416,10.67,2382,0.47,250.0,217.67,32,2021,FCLGA4189,Server
342,Intel Core i7-4760HQ,CPU,2014-02-01,22.0,47.0,264.0,1400.0,2100.0,Intel,Intel,,,,,6300,,1944,,47.0,134.05,4,2014,FCBGA1364,Laptop
343,Intel Pentium D 940,CPU,2006-01-16,65.0,130.0,140.0,376.0,3200.0,Intel,Intel,,,,,498,,574,,130.0,3.83,2,2008,PLGA775,Desktop
345,Intel Core i5-4300M,CPU,2013-09-01,22.0,37.0,118.0,1400.0,2600.0,Intel,Intel,,,,,3025,,1761,,37.0,81.75,2,2013,PGA946,Laptop
346,Intel Core i7-3635QM,CPU,2012-09-01,22.0,45.0,160.0,1480.0,2400.0,Intel,Intel,,,,,4575,,1652,,45.0,101.67,4,2012,unknown,Laptop
350,Intel Core i5-3330S,CPU,2012-09-03,22.0,77.0,133.0,,2700.0,Intel,Intel,,,,199.95,3810,19.05,1691,8.46,65.0,58.61,4,2012,LGA1155,Desktop
354,Intel Xeon E5-2695 v2,CPU,2013-09-01,22.0,115.0,160.0,1400.0,2400.0,Intel,Intel,,,,183.0,13521,73.88,1604,8.77,115.0,117.57,12,2013,LGA 2011,Server
357,Intel Xeon 5110,CPU,2006-06-26,65.0,65.0,,,1600.0,Intel,Intel,,,,35.0,600,17.14,606,17.32,65.0,9.23,2,2009,LGA771,Server
360,Intel Core i7-4960X,CPU,2013-09-03,22.0,130.0,257.0,1860.0,3600.0,Intel,Intel,,,,1250.0,9906,7.92,2078,1.66,130.0,76.2,6,2013,LGA2011,Desktop
361,Intel Core i3-9350K,CPU,2019-04-23,14.0,91.0,,,4000.0,Intel,Intel,,,,293.22,7694,26.24,2823,9.63,91.0,84.55,4,2020,FCLGA1151,Desktop
370,Intel Core i9-9940X,CPU,2018-10-19,14.0,165.0,,,3300.0,Intel,Intel,,,,841.4,28411,33.77,2647,3.15,165.0,172.19,14,2018,FCLGA2066,Desktop
373,Intel Pentium 967,CPU,2011-10-02,32.0,17.0,131.0,504.0,1300.0,Intel,Intel,,,,,626,,620,,17.0,36.84,2,2012,FCBGA1023,Laptop
374,Intel Core i9-9990XE,CPU,2018-10-19,14.0,255.0,,,4000.0,Intel,Intel,,,,2163.0,30162,13.94,2970,1.37,255.0,118.28,14,2020,LGA2066,Desktop
375,Intel Core i7-1160G7,CPU,2020-09-02,10.0,15.0,,,1200.0,Intel,Intel,,,,426.0,10316,24.22,2827,6.64,,,4,2021,FCBGA1598,Laptop
377,Intel Celeron G460,CPU,2011-12-12,32.0,35.0,131.0,504.0,1800.0,Intel,Intel,,,,55.0,494,8.99,720,13.09,35.0,14.13,1,2012,LGA1155,Desktop
378,Intel Core i7-6700T,CPU,2015-09-01,14.0,35.0,,,2800.0,Intel,Intel,,,,299.0,7271,24.32,2091,6.99,35.0,207.74,4,2015,LGA 1151,Desktop
380,Intel Celeron G3900,CPU,2015-09-01,14.0,51.0,150.0,1400.0,2800.0,Intel,Intel,,,,77.95,2212,28.38,1718,22.05,51.0,43.38,2,2016,FCLGA1151,Desktop
381,Intel Pentium G850,CPU,2011-05-22,32.0,65.0,131.0,504.0,2900.0,Intel,Intel,,,,101.97,1373,13.47,1339,13.13,65.0,21.13,2,2011,FCLGA1155,Desktop
383,Intel Core i7-4810MQ,CPU,2014-01-20,22.0,47.0,177.0,1400.0,2800.0,Intel,Intel,,,,179.95,6034,33.53,2004,11.14,47.0,128.37,4,2014,FCPGA946,Laptop
384,Intel Core i9-9920X,CPU,2018-10-19,14.0,165.0,,,3500.0,Intel,Intel,,,,999.0,25291,25.32,2621,2.62,165.0,153.28,12,2018,FCLGA2066,Desktop
389,Intel Core i3-4160T,CPU,2014-07-21,22.0,35.0,177.0,1400.0,3100.0,Intel,Intel,,,,59.99,3133,52.23,1771,29.53,35.0,89.53,2,2014,LGA1150,Desktop
391,Intel Atom N470,CPU,2010-03-01,45.0,7.0,66.0,123.0,1834.0,Intel,Intel,,,,,224,,308,,6.5,34.4,1,2010,BGA559,Laptop
398,Intel Core i3-10100,CPU,2020-04-30,14.0,65.0,,,3600.0,Intel,Intel,,,,112.99,8800,77.88,2637,23.34,65.0,135.39,4,2020,FCLGA1200,Desktop
399,Intel Atom Z530,CPU,2008-04-02,45.0,2.0,26.0,47.0,1600.0,Intel,Intel,,,,,183,,161,,2.0,91.43,1,2009,BGA441,Laptop
400,Intel Xeon W3580,CPU,2009-08-09,45.0,130.0,263.0,731.0,3333.0,Intel,Intel,,,,214.5,3495,16.29,1553,7.24,130.0,26.88,4,2009,LGA1366,Server
401,Intel Core i5-9600KF,CPU,2019-01-08,14.0,95.0,,,3700.0,Intel,Intel,,,,159.0,10838,68.16,2786,17.52,95.0,114.08,6,2019,FCLGA1151-2,Desktop
405,Intel Core i5-2435M,CPU,2011-09-01,32.0,35.0,149.0,624.0,2400.0,Intel,Intel,,,,,2085,,1300,,35.0,59.57,2,2011,BGA1023,Laptop
411,Intel Core i3-2377M,CPU,2012-09-01,32.0,17.0,149.0,624.0,1500.0,Intel,Intel,,,,,845,,640,,17.0,49.71,2,2012,BGA1023,Laptop
412,Intel Atom D510,CPU,2009-12-21,45.0,13.0,66.0,176.0,1667.0,Intel,Intel,,,,97.16,404,4.16,292,3.01,13.0,31.11,2,2010,BGA559,Desktop
413,Intel Core i7-5775C,CPU,2015-05-15,14.0,65.0,,,3300.0,Intel,Intel,,,,174.95,7801,44.59,2318,13.25,65.0,120.02,4,2015,FCLGA1150,Desktop
414,Intel Core Duo T2250,CPU,2006-05-01,65.0,31.0,90.0,151.0,1733.0,Intel,Intel,,,,,347,,529,,31.0,11.19,2,2009,PGA478,Laptop
415,Intel Atom N455,CPU,2010-06-01,45.0,7.0,66.0,123.0,1667.0,Intel,Intel,,,,,179,,257,,6.5,27.47,1,2010,BGA559,Laptop
416,Intel Core i7-10510Y,CPU,2019-08-21,14.0,9.0,,,1200.0,Intel,Intel,,,,403.0,5016,12.45,1957,4.86,7.0,716.63,4,2020,UTFCBGA1377,Laptop
418,Intel Xeon E5-2609 v2,CPU,2013-09-01,22.0,80.0,160.0,1400.0,2500.0,Intel,Intel,,,,24.72,3516,142.24,1371,55.45,80.0,43.95,4,2014,LGA 2011,Server
421,Intel Core i7-620M,CPU,2010-01-07,32.0,35.0,81.0,384.0,2677.0,Intel,Intel,,,,112.87,1999,17.71,1285,11.38,35.0,57.13,2,2010,BGA1288,Laptop
