Product,cpuName
Intel Core i3-5157U,Intel Core i7-11700KF @ 3.60GHz
Intel Core i3-4130,Intel Xeon W-1370 @ 2.90GHz
Intel Core i7-3910K,Intel Xeon W-11955M @ 2.60GHz
Intel Core i7-3632QM,AMD Ryzen 7 3800XT
Intel Core i7-8670T,Intel Core i9-11900F @ 2.50GHz
AMD Opteron 144,Intel Core i9-10900K @ 3.70GHz
Intel Core i7-5650U,Intel Core i9-11980HK @ 2.60GHz
Intel Pentium 4 HT 515,Intel Xeon Silver 4310 @ 2.10GHz
AMD Opteron 242,AMD EPYC 7351
Intel Core i5-7600,Intel Xeon E5-2696 v3 @ 2.30GHz
Intel Xeon 2.8,Intel Core i5-12500H
Intel Core 2 Duo E7600,Intel Xeon W-1390 @ 2.80GHz
Intel Core i7-9700K,Intel Xeon E5-2679 v4 @ 2.50GHz
AMD Phenom II X4 910,Intel Core i9-10900KF @ 3.70GHz
AMD EPYC 73F3,Intel Xeon E-2388G @ 3.20GHz
AMD Sempron 2500+,AMD Ryzen 7 6800H
Intel Pentium G3450,Intel Xeon Gold 6146 @ 3.20GHz
AMD EPYC 7601,AMD Ryzen 9 5980HX
Intel Xeon E7-8860 v3,Intel Core i9-7920X @ 2.90GHz
Intel Xeon 5140,AMD Ryzen 7 3800X
AMD Phenom X4 9850 BE,Intel Xeon W-2175 @ 2.50GHz
AMD Ryzen 3 3100,Intel Xeon E5-2696 v4 @ 2.20GHz
Intel Core i7-4940MX,Intel Xeon Platinum 8176 @ 2.10GHz
Intel Core 2 Quad Q6600 (105W),AMD Ryzen 9 5900HX
AMD Athlon 64 FX-62,Intel Core i5-1250P
AMD Athlon X2 7750 BE,Intel Core i9-11900 @ 2.50GHz
Intel Core i7-3740QM,Intel Core i9-10850K @ 3.60GHz
Intel Core i3-4150T,AMD EPYC 7F32
Intel Atom N570,Intel Xeon W-1290P @ 3.70GHz
Intel Core 2 Duo T7300,AMD Ryzen Threadripper 1920X
Intel Atom E645C,Intel Xeon Gold 6138 @ 2.00GHz
Intel Core i7-5820K,AMD Ryzen 7 PRO 3700
Intel Celeron E3400,Intel Core i9-11900KB @ 3.30GHz
AMD FX-6120,Intel Xeon Gold 6140 @ 2.30GHz
Intel Pentium G632,AMD Ryzen 7 3700X
Intel Pentium 4 HT 531,Intel Core i7-12700T
AMD Opteron 248 HE,Intel Core i9-10900X @ 3.70GHz
AMD Opteron X2 290,Intel Core i9-11950H @ 2.60GHz
Intel Pentium 4 HT 3.20,AMD Ryzen 7 5700GE
AMD Athlon II X4 610e,Apple M1 Max 10 Core 3200 MHz
Intel Core i3-3110M,Intel Core i7-11700B @ 3.20GHz
Intel Core i7-5550U,AMD Ryzen 7 PRO 5750GE
AMD Sempron 2800+,Apple M1 Pro 10 Core 3200 MHz
AMD FX-9590,Intel Xeon Platinum 8124M @ 3.00GHz
Intel Pentium 4 2.0,Intel Xeon Gold 6152 @ 2.10GHz
AMD EPYC 7443P,Intel Xeon Gold 6136 @ 3.00GHz
Intel Celeron G1620T,AMD Ryzen 9 5900HS
AMD Phenom II X6 1055T (95W),Intel Xeon Gold 6334 @ 3.60GHz
AMD A4-4000,Intel Xeon Gold 5218 @ 2.30GHz
AMD Phenom X4 9650,AMD Ryzen 5 5600X
AMD Athlon XP 2600+,Intel Xeon W-1290E @ 3.50GHz
Intel Core i5-4350U,AMD Ryzen Threadripper 1920
AMD Ryzen Threadripper 1900X,Intel Xeon W-2255 @ 3.70GHz
Intel Celeron B820,AMD EPYC 7551
Intel Xeon W3670,Intel Core i9-9900X @ 3.50GHz
Intel Core i7-7740X,Intel Xeon Gold 6130T @ 2.10GHz
Intel Core i7-4610M,Intel Core i9-10910 @ 3.60GHz
AMD Opteron 6282 SE,Intel Xeon E5-2698 v4 @ 2.20GHz
Intel Celeron N2805,Intel Xeon E5-2697 v4 @ 2.30GHz
Intel Pentium 4 HT 631,Intel Xeon E5-2697A v4 @ 2.60GHz
Intel Xeon L5609,AMD Ryzen 7 5800H
AMD Phenom II X3 715 BE,Intel Core i7-11700F @ 2.50GHz
Intel Core i5-8420T,AMD Ryzen 9 5980HS
AMD Opteron 152,Intel Core i9-11900H @ 2.50GHz
AMD Sempron 3400+,Intel Core i5-12600
Intel Xeon E5603,Intel Core i7-11800H @ 2.30GHz
Intel Pentium G2100T,AMD Ryzen 5 5600
AMD Sempron 2600+,Intel Core i9-7900X @ 3.30GHz
Intel Pentium 4 HT 660,AMD EPYC 7281
AMD Athlon Gold PRO 3150GE,Intel Xeon Gold 5315Y @ 3.20GHz
Intel Core i7-10750H,Intel Core i7-11850H @ 2.50GHz
Intel Celeron 887,Intel Xeon W-2155 @ 3.30GHz
AMD A8-3550MX,Intel Xeon Gold 6132 @ 2.60GHz
Intel Xeon E-2124,Intel Core i7-1270P
AMD Phenom II X4 830,Intel Xeon Silver 4310T @ 2.30GHz
AMD Athlon II X2 250,AMD Ryzen 9 5900H
AMD FX-6200,AMD Ryzen 7 5800HS Creator Edition
AMD Opteron 848,Intel Core i9-10900F @ 2.80GHz
AMD Phenom X4 9350e,AMD Ryzen 7 PRO 4700G
Intel Pentium B980,Intel Xeon E5-2697R v4 @ 2.30GHz
AMD Athlon II X4 635,AMD EPYC 7262
Intel Celeron B810,Intel Xeon Gold 6130 @ 2.10GHz
Intel A100,AMD Ryzen 7 5800HS
AMD Opteron X1150,Intel Core i9-10900E @ 2.80GHz
Intel Core i9-9820X,AMD Ryzen 5 PRO 5650G
AMD A12-9800E,Intel Core i7-11700 @ 2.50GHz
Intel Xeon Phi SE10P,AMD Ryzen 7 PRO 4750G
Intel Core 2 Duo E6750,Intel Xeon W-1290 @ 3.20GHz
Intel Core i7-990X,AMD EPYC 7451
Intel Core i5-9400,Intel Xeon W-2150B @ 3.00GHz
Intel Core 2 Duo E4300,Intel Core i9-10900 @ 2.80GHz
AMD A4-1250,Intel Xeon Gold 6244 @ 3.60GHz
Intel Pentium 4 HT 2.80,AMD Ryzen 7 4700GE
AMD Ryzen 7 1700X,Intel Xeon E5-2695 v4 @ 2.10GHz
AMD A6-3650,AMD Ryzen 7 PRO 5875U
AMD Ryzen Embedded V1605B,Intel Core i5-12500
Intel Pentium 4 HT 620,Intel Core i9-11900T @ 1.50GHz
Intel Core 2 Duo T5600,AMD Ryzen 7 4700G
AMD Athlon 64 LE-1640,Intel Xeon E5-2699 v3 @ 2.30GHz
AMD Sempron 2800+,Intel Xeon E5-2690 v4 @ 2.60GHz
AMD A10-5800B,Intel Xeon E5-2699C v4 @ 2.20GHz
Intel Core Solo T1200,AMD Ryzen 5 5500
Intel Xeon Phi 7285,Intel Xeon W-1350P @ 4.00GHz
AMD Athlon 64 3800+,AMD Ryzen 5 5600G
Intel Xeon Phi 31S1P,Intel Core i5-12450H
AMD Opteron 144,Intel Xeon Gold 6226 @ 2.70GHz
Intel Xeon MP 7040 Dual-Core,Intel Xeon E5-2698 v3 @ 2.30GHz
Intel Pentium 4 2.80,Intel Core i5-11600K @ 3.90GHz
AMD Phenom II X2 B57,Intel Core i5-11600KF @ 3.90GHz
Intel Celeron G1840T,Intel Core i5-12400F
Intel Core i3-3120M,Intel Core i5-12400
AMD EPYC 7402,Intel Xeon E5-2682 v4 @ 2.50GHz
Intel Core i7-11700T,AMD EPYC 7252
Intel Pentium 4 1.9,Intel Core i9-9900KS @ 4.00GHz
AMD Opteron 6284 SE,Intel Xeon Silver 4216 @ 2.10GHz
AMD Turion X2 RM-74,Intel Xeon W-2245 @ 3.90GHz
AMD Opteron 4340,AMD Ryzen 9 4900HS
AMD Athlon 64 3700+,Intel Xeon Gold 6137 @ 3.90GHz
AMD Athlon II X4 638,Intel Core i7-7900X @ 3.30GHz
AMD Sempron 3800+,AMD Ryzen 9 4900H
Intel Pentium 2117U,Intel Core i7-10700K @ 3.80GHz
AMD Athlon 800,Intel Xeon W-1270P @ 3.80GHz
Intel Core 2 Quad Q7600,Intel Xeon E5-2697 v3 @ 2.60GHz
Intel Xeon E7-8870,Intel Xeon Gold 6126 @ 2.60GHz
AMD FX-8350,Intel Core i7-10700KF @ 3.80GHz
AMD Athlon 64 X2 4400+ EE,AMD Ryzen 7 4800H
Intel Core 2 Duo T5200,Intel Core i7-12800H
AMD Opteron 4386,Intel Xeon Silver 4309Y @ 2.80GHz
Intel Xeon W5580,Intel Xeon E5-2676 v4 @ 2.40GHz
AMD Athlon X2 BE-2400,Intel Core i5-1240P
AMD Phenom II X4 920,Intel Xeon W-1350 @ 3.30GHz
Intel Core i3-7350K,AMD Ryzen 5 5600GE
AMD Sempron 2500+,AMD Ryzen 7 4800HS
Intel Xeon Phi 7235,Intel Xeon W-11855M @ 3.20GHz
AMD Sempron 3500+,AMD Ryzen 7 5800U
AMD Opteron 250,Intel Xeon Silver 4214R @ 2.40GHz
Intel Xeon MP 7030 Dual-Core,Hygon C86 7255 16-core
Intel Core i5-9600K,ARM Neoverse-N1 80 Core 2600 MHz
AMD FX-8170,AMD Ryzen 5 3600XT
AMD Opteron 850,Intel Xeon E-2356G @ 3.20GHz
Intel Core i5-10300H,AMD Ryzen 5 PRO 5650GE
Intel Core i7-5557U,Intel Core i9-9900K @ 3.60GHz
Intel Core i7-2860QM,Intel Core i9-9900KF @ 3.60GHz
Intel Core i7-9750HF,Intel Xeon Gold 6144 @ 3.50GHz
Intel Pentium 350,AMD Ryzen 5 PRO 6650U
AMD Ryzen 5 2600X,Intel Xeon W-1270E @ 3.40GHz
Intel Core M-5Y70,AMD Ryzen 7 PRO 4750GE
Intel Pentium 4 HT 2.40,Intel Xeon Platinum P-8124 @ 3.00GHz
AMD Ryzen 7 4700U,Intel Xeon W-1290T @ 1.90GHz
Intel Atom E620T,Intel Xeon D-2183IT @ 2.20GHz
AMD Opteron 43GK HE,Intel Core i5-11600 @ 2.80GHz
AMD Athlon X2 7450,Intel Core i9-9820X @ 3.30GHz
Intel Atom E3825,AMD Ryzen 5 3600X
Intel Celeron N2808,Intel Xeon E-2378 @ 2.60GHz
AMD Ryzen 5 1500X,Intel Xeon E7-8880 v3 @ 2.30GHz
AMD Athlon 64 X2 4400+,Intel Core i7-9800X @ 3.80GHz
AMD A4-4300M,Intel Xeon W-2145 @ 3.70GHz
Intel Core i5-670,AMD 4700S
Intel Xeon Platinum 8358,AMD Ryzen 7 Extreme Edition
Intel Core 2 Duo U7600,Intel Core i5-12600T
Intel Core i7-4760HQ,Intel Xeon E5-2686 v3 @ 2.00GHz
Intel Pentium D 940,AMD Ryzen 7 5825U
AMD Turion 64 MT-37,Intel Xeon W-1270 @ 3.40GHz
Intel Core i5-4300M,Intel Xeon D-2187NT @ 2.00GHz
Intel Core i7-3635QM,AMD Ryzen Embedded V2718
AMD Opteron 6376,AMD Ryzen 5 PRO 3600
AMD EPYC 72F3,Intel Core i9-10900TE @ 1.80GHz
AMD Opteron 244,AMD Ryzen 5 3600
Intel Core i5-3330S,Intel Xeon E5-2680R v4 @ 2.40GHz
Intel Xeon Platinum 8352S,Intel Core i5-11500B @ 3.30GHz
Intel Pentium 4 2.40,Intel Xeon E5-2687W v4 @ 3.00GHz
Intel Xeon MP 3.00,Intel Xeon E5-2680 v4 @ 2.40GHz
Intel Xeon E5-2695 v2,Intel Core i5-12500T
Intel Pentium M 725,Intel Xeon E-2278G @ 3.40GHz
AMD Sempron 2800+,Intel Xeon Gold 5120 @ 2.20GHz
Intel Xeon 5110,Intel Core i5-11500 @ 2.70GHz
AMD A4-3320M,AMD Ryzen 7 PRO 5850U
Intel Mobile Pentium 4 2.80,AMD Ryzen 7 2700X
Intel Core i7-4960X,Intel Xeon W-2140B @ 3.20GHz
Intel Core i3-9350K,Intel Xeon Gold 5120T @ 2.20GHz
AMD Athlon II X2 250e,Intel Xeon E5-2673 v4 @ 2.30GHz
AMD Athlon 64 X2 6000+,Apple M1 Pro 8 Core 3200 MHz
AMD Athlon 64 LE-1620,Intel Xeon W-3223 @ 3.50GHz
Intel Celeron 2.40,Intel Xeon E5-4669 v3 @ 2.10GHz
AMD EPYC 7232P,Intel Xeon E5-2683 v4 @ 2.10GHz
Intel Atom CE4150,Intel Xeon E-2288G @ 3.70GHz
AMD Athlon II X2 220,Intel Core i7-7820X @ 3.60GHz
AMD Opteron 4334,AMD Ryzen 7 PRO 2700X
Intel Core i9-9940X,Intel Core i5-11400F @ 2.60GHz
Intel Core 2 Quad Q9400,AMD Ryzen 5 5600H
Intel Xeon E7-8891 v3,Intel Core i7-6950X @ 3.00GHz
Intel Pentium 967,Intel Core i5-11400 @ 2.60GHz
Intel Core i9-9990XE,AMD Ryzen 7 4800U
Intel Core i7-1160G7,Intel Core i7-10700E @ 2.90GHz
AMD Athlon 900,AMD EPYC 7232P
Intel Celeron G460,Intel Core i7-10700F @ 2.90GHz
Intel Core i7-6700T,AMD Ryzen Threadripper 1900X
AMD FX-6350,Intel Core i7-10700 @ 2.90GHz
Intel Celeron G3900,Intel Xeon E5-2689 v4 @ 3.10GHz
Intel Pentium G850,Intel Core i9-9900 @ 3.10GHz
AMD EPYC 7742,Intel Xeon E5-2686 v4 @ 2.30GHz
Intel Core i7-4810MQ,AMD Ryzen 5 4500
Intel Core i9-9920X,Intel Xeon Gold 6134 @ 3.20GHz
Intel Core 2 Duo E8600,Intel Core i5-11500H @ 2.90GHz
AMD Sempron LE-1150,AMD Ryzen 5 PRO 4400G
AMD Phenom II X6 1090T BE,Intel Xeon E5-2690 v3 @ 2.60GHz
