Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
2880,radeon r9 260 oem,GPU,2013-12-21,28.0,85.0,160.0,2080.0,1100.0,TSMC,AMD,,1971.0,123.2
2883,radeon graphics 512sp,GPU,2020-03-07,7.0,15.0,156.0,9800.0,400.0,TSMC,AMD,3584.0,1792.0,112.0
2886,radeon pro 580,GPU,2017-06-05,14.0,185.0,232.0,5700.0,1100.0,GF,AMD,5530.0,5530.0,345.6
2895,firepro m4100,GPU,2013-10-16,28.0,,77.0,950.0,670.0,TSMC,AMD,,514.6,32.16
2896,radeon hd 7610m,GPU,2012-01-07,40.0,20.0,104.0,716.0,450.0,TSMC,AMD,,360.0,
2901,radeon hd 7350 oem pci,GPU,2012-01-05,40.0,19.0,59.0,292.0,650.0,TSMC,AMD,,104.0,
2902,radeon rx 470 mobile,GPU,2016-08-04,14.0,85.0,232.0,5700.0,926.0,GF,AMD,4399.0,4399.0,274.9
2903,radeon hd 6770 green edition,GPU,2013-04-19,40.0,86.0,166.0,1040.0,700.0,TSMC,AMD,,1008.0,
2906,radeon hd 8510g igp,GPU,2013-05-23,32.0,35.0,246.0,1303.0,554.0,TSMC,AMD,,425.5,
2912,radeon e9260 pcie,GPU,2016-09-27,14.0,80.0,123.0,3000.0,1090.0,GF,AMD,2150.0,2150.0,134.4
2921,firestream 9170,GPU,2007-11-08,55.0,105.0,192.0,666.0,800.0,TSMC,AMD,,512.0,102.4
2932,radeon hd 7660d igp,GPU,2012-10-02,32.0,100.0,246.0,1303.0,760.0,TSMC,AMD,,583.7,
2946,radeon hd 6570 oem,GPU,2011-02-07,40.0,44.0,118.0,716.0,650.0,TSMC,AMD,,624.0,
2948,radeon r7 240 oem,GPU,2013-11-01,28.0,50.0,77.0,950.0,730.0,TSMC,AMD,,499.2,31.2
2952,firepro d700,GPU,2014-01-18,28.0,274.0,352.0,4313.0,850.0,TSMC,AMD,,3482.0,870.4
2956,radeon 550x 640sp,GPU,2018-04-11,14.0,50.0,103.0,2200.0,1019.0,GF,AMD,1371.0,1371.0,85.68
2957,radeon r9 m470,GPU,2016-05-15,28.0,,160.0,2080.0,900.0,TSMC,AMD,,1536.0,96.0
2960,radeon e9174 mxm,GPU,2017-10-03,14.0,50.0,103.0,2200.0,1124.0,GF,AMD,1248.0,1248.0,78.02
2962,radeon rx 6600,GPU,NaT,7.0,150.0,236.0,,1489.0,TSMC,AMD,17920.0,8960.0,560.0
2964,radeon pro 5500 xt,GPU,2020-08-04,7.0,125.0,158.0,6400.0,1187.0,TSMC,AMD,10800.0,5398.0,337.3
2965,radeon rx 480 mobile,GPU,2016-08-04,14.0,100.0,232.0,5700.0,1000.0,GF,AMD,4963.0,4963.0,310.2
2980,firepro d300,GPU,2014-01-18,28.0,150.0,212.0,2800.0,850.0,TSMC,AMD,,2176.0,136.0
2984,radeon r6 m335dx,GPU,2015-12-12,28.0,,56.0,690.0,955.0,TSMC,AMD,,791.0,49.44
2988,radeon hd 6990m,GPU,2011-07-12,40.0,100.0,212.0,1700.0,715.0,TSMC,AMD,,1602.0,
2993,radeon rx 550,GPU,2017-04-20,14.0,50.0,103.0,2200.0,1100.0,GF,AMD,1211.0,1211.0,75.71
2994,radeon hd 8970m,GPU,2013-05-14,28.0,100.0,212.0,2800.0,850.0,TSMC,AMD,,2304.0,144.0
2997,radeon hd 8410g igp,GPU,2013-05-23,32.0,35.0,246.0,1303.0,450.0,TSMC,AMD,,230.4,
2998,radeon r9 nano,GPU,2015-08-27,28.0,175.0,596.0,8900.0,1000.0,TSMC,AMD,8192.0,8192.0,512.0
3000,radeon rx 460 1024sp,GPU,2017-01-17,14.0,75.0,123.0,3000.0,1090.0,GF,AMD,2458.0,2458.0,153.6
