,Unnamed: 0,GPUname,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS
4298,4298,NVIDIA GeForce RTX 3060 Mobile,GPU,2021-01-12,8.0,80.0,276.0,13250.0,900.0,Samsung,NVIDIA,10940.0,10940.0,171.0
4300,4300,NVIDIA GeForce GT 730A,GPU,2014-07-01,28.0,33.0,87.0,1020.0,719.0,TSMC,NVIDIA,,552.2,23.01
4301,4301,NVIDIA GeForce 830M,GPU,2014-03-12,28.0,33.0,,,1082.0,TSMC,NVIDIA,,588.8,18.4
4302,4302,NVIDIA Quadro M2200 Mobile,GPU,2017-01-11,28.0,55.0,228.0,2940.0,695.0,TSMC,NVIDIA,,2122.0,66.3
4305,4305,NVIDIA GeForce2 GTS,GPU,2000-04-26,150.0,,88.0,25.0,200.0,TSMC,NVIDIA,,,
4306,4306,NVIDIA GeForce 820M,GPU,2013-11-27,28.0,15.0,116.0,585.0,625.0,TSMC,NVIDIA,,240.0,20.0
4309,4309,NVIDIA GeForce 7800 GS+ AGP,GPU,2006-09-28,90.0,75.0,196.0,278.0,375.0,TSMC,NVIDIA,,,
4312,4312,NVIDIA GeForce 8600M GT,GPU,2007-12-31,80.0,20.0,169.0,289.0,475.0,TSMC,NVIDIA,,60.8,
4313,4313,NVIDIA GeForce RTX 2070 Max-Q Refresh,GPU,2020-03-04,12.0,115.0,445.0,10800.0,900.0,TSMC,NVIDIA,10370.0,5184.0,162.0
4314,4314,NVIDIA GeForce 9800 GX2,GPU,2008-03-18,65.0,197.0,324.0,754.0,600.0,TSMC,NVIDIA,,384.0,
4316,4316,NVIDIA GeForce GTX 460 SE v2,GPU,2010-11-15,40.0,150.0,332.0,1950.0,650.0,TSMC,NVIDIA,,748.8,62.4
4317,4317,NVIDIA GeForce2 MX DH Pro TV PCI,GPU,2000-06-28,180.0,,64.0,20.0,175.0,TSMC,NVIDIA,,,
4319,4319,NVIDIA Quadro NVS 295,GPU,2009-05-07,65.0,23.0,86.0,210.0,540.0,TSMC,NVIDIA,,20.8,
4320,4320,NVIDIA GeForce Go 6600,GPU,2005-09-29,110.0,,154.0,146.0,300.0,TSMC,NVIDIA,,,
4321,4321,NVIDIA GeForce 9400,GPU,2007-04-17,65.0,40.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
4324,4324,NVIDIA GeForce4 Ti 4600,GPU,2002-02-06,150.0,,142.0,63.0,300.0,TSMC,NVIDIA,,,
4325,4325,NVIDIA Tesla M2075,GPU,2011-07-25,40.0,225.0,520.0,3000.0,574.0,TSMC,NVIDIA,,1028.0,513.9
4326,4326,NVIDIA Playstation 3 GPU 65nm,GPU,NaT,65.0,58.0,186.0,300.0,550.0,Sony,NVIDIA,,,
4328,4328,NVIDIA Quadro K1000M,GPU,2012-06-01,28.0,45.0,118.0,1270.0,850.0,TSMC,NVIDIA,,326.4,13.6
4329,4329,NVIDIA Quadro M6000,GPU,2015-03-21,28.0,250.0,601.0,8000.0,988.0,TSMC,NVIDIA,,6844.0,213.9
4330,4330,NVIDIA Quadro T500 Mobile,GPU,2020-12-02,12.0,18.0,200.0,4700.0,1365.0,TSMC,NVIDIA,6075.0,3037.0,94.92
4332,4332,NVIDIA GeForce4 MX 440-SE,GPU,2002-02-06,150.0,,65.0,29.0,250.0,TSMC,NVIDIA,,,
4334,4334,NVIDIA GeForce GTX 480 Core 512,GPU,NaT,40.0,375.0,529.0,3100.0,527.0,TSMC,NVIDIA,,1078.0,
4335,4335,NVIDIA GeForce 920A,GPU,2015-03-13,28.0,33.0,87.0,1020.0,954.0,TSMC,NVIDIA,,732.7,30.53
4337,4337,NVIDIA GeForce Go 7800 GTX,GPU,2005-09-29,110.0,65.0,333.0,302.0,440.0,TSMC,NVIDIA,,,
4340,4340,NVIDIA GeForce GTX 775M Mac Edition,GPU,2013-11-08,28.0,100.0,294.0,3540.0,797.0,TSMC,NVIDIA,,2142.0,89.26
4341,4341,NVIDIA GeForce 9200M GS,GPU,2008-06-03,65.0,13.0,86.0,210.0,550.0,TSMC,NVIDIA,,22.4,
4343,4343,NVIDIA GeForce FX Go5200,GPU,2003-03-01,150.0,,124.0,45.0,200.0,TSMC,NVIDIA,,,
4344,4344,NVIDIA Tesla V100 PCIe 16 GB,GPU,2017-06-21,12.0,300.0,815.0,21100.0,1245.0,TSMC,NVIDIA,28260.0,14130.0,7066.0
4346,4346,NVIDIA GeForce GT 740 OEM,GPU,2015-04-14,28.0,65.0,221.0,2540.0,1006.0,TSMC,NVIDIA,,772.6,32.19
4348,4348,NVIDIA Quadro4 100 NVS PCI,GPU,2003-12-22,150.0,10.0,65.0,29.0,250.0,TSMC,NVIDIA,,,
4351,4351,NVIDIA GeForce 210 PCI,GPU,2009-10-12,40.0,31.0,100.0,486.0,475.0,TSMC,NVIDIA,,35.2,
4357,4357,NVIDIA Vanta LT,GPU,2000-03-01,250.0,,90.0,15.0,105.0,TSMC,NVIDIA,,,
4359,4359,NVIDIA Quadro K2000,GPU,2013-03-01,28.0,51.0,118.0,1270.0,954.0,TSMC,NVIDIA,,732.7,30.53
4367,4367,NVIDIA Quadro FX 3000,GPU,2003-07-22,130.0,,207.0,135.0,400.0,TSMC,NVIDIA,,,
4368,4368,NVIDIA Quadro FX 560,GPU,2006-04-20,90.0,30.0,125.0,177.0,350.0,TSMC,NVIDIA,,,
4370,4370,NVIDIA Quadro FX 370,GPU,2007-09-12,80.0,35.0,169.0,289.0,360.0,TSMC,NVIDIA,,23.04,
4371,4371,NVIDIA Playstation 3 GPU 40nm,GPU,2012-10-04,40.0,35.0,114.0,302.0,550.0,Sony,NVIDIA,,,
4372,4372,NVIDIA GeForce MX230,GPU,2019-02-21,14.0,10.0,74.0,1800.0,1519.0,Samsung,NVIDIA,12.25,783.9,24.5
4373,4373,NVIDIA GeForce GT 435M,GPU,2011-01-15,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,,226.6,18.88
4375,4375,NVIDIA GeForce 6200 LE AGP 512 MB,GPU,2004-10-11,110.0,,110.0,75.0,300.0,TSMC,NVIDIA,,,
4376,4376,NVIDIA NVS 5100M,GPU,2010-01-07,40.0,35.0,100.0,486.0,550.0,TSMC,NVIDIA,,116.2,
4379,4379,NVIDIA Quadro FX 1100,GPU,2004-04-01,130.0,,133.0,82.0,425.0,TSMC,NVIDIA,,,
4383,4383,NVIDIA GRID RTX T10-4,GPU,NaT,12.0,260.0,754.0,18600.0,1065.0,TSMC,NVIDIA,25710.0,12860.0,401.8
4385,4385,NVIDIA GeForce GT 440,GPU,2011-02-01,40.0,65.0,116.0,585.0,810.0,TSMC,NVIDIA,,311.0,25.92
4388,4388,NVIDIA GeForce GTX 1650 TU116,GPU,2020-07-07,12.0,80.0,284.0,6600.0,1410.0,TSMC,NVIDIA,5699.0,2849.0,89.04
4392,4392,NVIDIA Tesla PG503-216,GPU,2019-11-26,12.0,250.0,815.0,21100.0,1312.0,TSMC,NVIDIA,31330.0,15670.0,7834.0
4393,4393,NVIDIA GeForce 9400,GPU,2007-04-17,65.0,40.0,144.0,314.0,450.0,Unknown,NVIDIA,,35.2,
4399,4399,NVIDIA GeForce GT 435M,GPU,2010-09-03,40.0,35.0,116.0,585.0,650.0,TSMC,NVIDIA,,249.6,20.8
4400,4400,NVIDIA Quadro M6000 24 GB,GPU,2016-03-05,28.0,250.0,601.0,8000.0,988.0,TSMC,NVIDIA,,6844.0,213.9
4402,4402,NVIDIA GeForce G210M,GPU,2009-06-15,40.0,14.0,57.0,260.0,625.0,TSMC,NVIDIA,,48.0,
4405,4405,NVIDIA GeForce GTX 770,GPU,2013-05-30,28.0,230.0,294.0,3540.0,1046.0,TSMC,NVIDIA,,3333.0,138.9
4407,4407,NVIDIA Quadro RTX 5000 Mobile Refresh,GPU,2020-06-08,12.0,110.0,545.0,13600.0,1035.0,TSMC,NVIDIA,18980.0,9492.0,296.6
4411,4411,NVIDIA Quadro FX 360M,GPU,2007-05-09,80.0,17.0,127.0,210.0,400.0,TSMC,NVIDIA,,25.6,
4412,4412,NVIDIA GeForce RTX 3080,GPU,2020-09-01,8.0,320.0,628.0,28300.0,1440.0,Samsung,NVIDIA,29770.0,29770.0,465.1
4415,4415,NVIDIA GeForce GTX 1660,GPU,2019-03-14,12.0,120.0,284.0,6600.0,1530.0,TSMC,NVIDIA,10050.0,5027.0,157.1
4418,4418,NVIDIA Quadro FX 1600M,GPU,2007-06-01,80.0,50.0,169.0,289.0,625.0,TSMC,NVIDIA,,80.0,
4420,4420,NVIDIA Quadro Plex 1000 Model II,GPU,2008-07-25,110.0,640.0,333.0,302.0,470.0,TSMC,NVIDIA,,,
4423,4423,NVIDIA GeForce 9400 GT PCI,GPU,2008-08-27,55.0,50.0,121.0,314.0,550.0,TSMC,NVIDIA,,44.8,
4425,4425,NVIDIA GeForce GTX 760 Ti OEM Rebrand,GPU,2013-08-25,28.0,170.0,294.0,3540.0,915.0,TSMC,NVIDIA,,2634.0,109.8
4427,4427,NVIDIA GeForce GT 630 OEM,GPU,2012-04-24,28.0,50.0,118.0,1270.0,875.0,TSMC,NVIDIA,,336.0,14.0
4428,4428,NVIDIA GeForce GTX 590,GPU,2011-03-24,40.0,365.0,520.0,3000.0,608.0,TSMC,NVIDIA,,1244.0,155.5
4430,4430,NVIDIA Quadro M620 Mobile,GPU,2017-01-11,28.0,30.0,148.0,1870.0,756.0,TSMC,NVIDIA,,1000.0,31.26
4431,4431,NVIDIA GeForce GTX 660 OEM,GPU,2012-08-22,28.0,130.0,294.0,3540.0,823.0,TSMC,NVIDIA,,2046.0,85.25
4435,4435,NVIDIA GeForce 9600M GT,GPU,2008-06-04,55.0,23.0,121.0,314.0,500.0,TSMC,NVIDIA,,80.0,
4436,4436,NVIDIA GeForce 610,GPU,2011-12-01,40.0,12.0,79.0,292.0,738.0,TSMC,NVIDIA,,141.7,11.81
4438,4438,NVIDIA Quadro K5000 Mac Edition,GPU,2012-08-07,28.0,122.0,294.0,3540.0,706.0,TSMC,NVIDIA,,2169.0,90.37
4442,4442,NVIDIA GeForce GT 625 OEM,GPU,2013-02-18,40.0,29.0,79.0,292.0,874.0,TSMC,NVIDIA,,167.8,13.98
4444,4444,NVIDIA Quadro P600 Mobile,GPU,2017-02-07,14.0,25.0,132.0,3300.0,1430.0,Samsung,NVIDIA,18.68,1196.0,37.37
4446,4446,NVIDIA GeForce FX 5900 XT,GPU,2003-05-12,130.0,35.0,207.0,135.0,400.0,TSMC,NVIDIA,,,
4448,4448,NVIDIA Quadro NVS 120M,GPU,2006-06-01,90.0,10.0,81.0,112.0,450.0,TSMC,NVIDIA,,,
4449,4449,NVIDIA GeForce 6200 X2 PCI,GPU,2008-01-16,110.0,,110.0,75.0,280.0,TSMC,NVIDIA,,,
