GPUname,GPUname.1
radeon hd 6850m,nvidia geforce gtx 1060 5 gb
radeon hd 6830m,amd radeon r7 m260dx
radeon hd 6870m,intel xeon phi se10x
radeon hd 6770m 2gb,amd radeon hd 7480d igp
radeon hd 6990m,nvidia geforce gtx 1060 6 gb gp104
radeon hd 6770m,amd radeon hd 6970
radeon hd 6750m 512mb,amd radeon r7 250xe
radeon hd 6750m,ati radeon igp 345m
radeon hd 6650m,amd radeon hd 7970 x2
radeon hd 6570m,nvidia geforce gt 1030 ddr4
radeon hd 6730m,intel uhd graphics 630
radeon hd 6630m,nvidia pg506-232
radeon hd 6550m,nvidia quadro k600
radeon hd 6470m,nvidia geforce gtx 1660 ti mobile
radeon hd 6490m,ati mobility radeon x1350
radeon hd 6530m,nvidia geforce fx 5200 pci
radeon hd 6450m,ati radeon x1300 xt agp
radeon hd 6370m,amd radeon r5 230
radeon hd 6350m,nvidia quadro t600 mobile
radeon hd 6430m,amd radeon hd 7970
radeon hd 6330m,amd radeon rx 6700m
radeon hd 8330,ati radeon x1300 xt
radeon hd 8250,ati radeon x1300 pro agp
radeon hd 8280,amd radeon e9171 mcm
radeon hd 6320,nvidia geforce go 7300
radeon hd 8180,nvidia quadro fx 2700m
radeon hd 6290,intel gma 950
radeon hd 6250,nvidia geforce fx go5300
radeon hd 8210,amd radeon e8860
radeon hd 7950m [not released],amd radeon pro vega 16
radeon hd 8240,nvidia geforce 6800 xt
radeon hd 6310,nvidia geforce 7300 gs low profile
radeon hd 7850m,ati radeon hd 4570 rebrand
radeon hd 7870m,intel xeon phi 5110p
radeon hd 7770m 2gb,nvidia geforce 9800s
radeon hd 7970m,nvidia geforce 7025 + nforce 630a
radeon hd 7970m crossfire,amd radeon r9 m485x
radeon hd 7730m,nvidia geforce gtx 480m
radeon hd 7690m xt,nvidia geforce gtx 285 mac edition
radeon hd 7670m,ati radeon x1600 xt dual
radeon hd 7650m,ati radeon sdr pci
radeon hd 7670m 2gb,nvidia geforce 9500 gs rev. 2
radeon hd 7750m,amd radeon rx vega 11
radeon hd 7770m,ati mobility radeon hd 5165
radeon hd 7690m,ati radeon x800 gto agp
radeon hd 7630m,amd radeon r5 235x oem
radeon hd 7610m,nvidia quadro plex 2100 d4
radeon hd 7550m v2,amd radeon pro duo polaris
radeon hd 7590m,amd radeon rx 550x
radeon hd 7510m,nvidia geforce gtx 1080 max-q
radeon hd 7530m,amd radeon rx 560 mobile
radeon hd 7550m,nvidia quadro m5500 mobile
radeon hd 7570m,ati radeon x600 se
radeon hd 7430m,3dfx voodoo4 4000 agp
radeon hd 7450m,amd firepro w4000
radeon hd 7470m,nvidia geforce gtx 580
radeon hd 7490m,nvidia geforce rtx 2060 max-q refresh
radeon hd 7370m,ati mobility radeon hd 5650
radeon hd 7340,intel gma x4500
radeon hd 7350m,amd radeon e9550 mxm
radeon hd 7330m,intel hd graphics 2000
radeon hd 7310,ati radeon hd 4700
radeon r9 m280x [not released],amd radeon hd 8670a
radeon r9 m275x,ati xbox 360 gpu 65nm
radeon r9 m265x,amd radeon r9 285x
radeon r9 m275 [not released],nvidia geforce gtx 1080 11gbps
radeon r9 m270x,nvidia quadro p3000 mobile
