ID,Architecture,Best Resolution,Core Speed,Direct X,L2 Cache,Manufacturer,Max Power,Memory,Memory Bandwidth,Memory Bus,Memory Speed,Memory Type,GPUname,Open GL,PSU,Pixel Rate,Power Connector,Process,ROPs,Release Date,Release Price,Resolution WxH,Shader,TMUs,Texture Rate,VGA Connection,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Release Date Rank
56,71,,-,9,0,Nvidia,45,512,38.4,256,600,3,GeForce Go 7900 GTX,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,45.0,196.0,278.0,500.0,TSMC,NVIDIA,,,294
57,72,,-,9,0,Nvidia,,64,2.8,32,350,3,GeForce Go 7200,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,,81.0,112.0,450.0,TSMC,NVIDIA,,,294
58,70,,-,9,0,Nvidia,65,512,35.2,256,550,3,GeForce Go 7800 GTX,2.1,,,,,,2005-01-01,,25601600,3.0,,,,110.0,65.0,333.0,302.0,440.0,TSMC,NVIDIA,,,323
59,71,,-,9,0,Nvidia,45,512,44.8,256,700,3,GeForce Go 7950 GTX,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,45.0,196.0,278.0,575.0,TSMC,NVIDIA,,,294
60,71,,-,9,0,Nvidia,20,512,32,256,500,3,GeForce Go 7900 GS,2.1,,,,,,2006-01-01,,25601600,3.0,,,,90.0,20.0,196.0,278.0,375.0,TSMC,NVIDIA,,,294
61,94,,-,10,0,Nvidia,60,1024,51.2,256,800,3,GeForce GTS 160M,2.1,,,,55,,2009-02-01,,25601600,4.0,,,,65.0,60.0,240.0,505.0,600.0,TSMC,NVIDIA,192.0,,216
62,108,1366768,672,12.0,256,Nvidia,35,1024,28.8,128,900,3,GeForce GT 540M,4.5,,3,,40,4,2011-06-01,,25601600,5.0,16.0,11,,40.0,35.0,116.0,585.0,672.0,TSMC,NVIDIA,258.0,21.5,121
63,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,675.0,TSMC,NVIDIA,388.8,32.4,122
64,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,116.0,585.0,753.0,TSMC,NVIDIA,289.2,24.1,122
65,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,339.8,28.32,122
66,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,525.0,TSMC,NVIDIA,302.4,25.2,122
67,106,1366768,590,12.0,384,Nvidia,35,1536,43.2,192,900,3,GeForce GT 555M,4.5,,9,,40,16,2011-05-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,339.8,28.32,122
68,108,1366768,740,12.0,256,Nvidia,35,1024,28.8,128,900,3,GeForce GT 550M,4.5,,3,,40,4,2011-05-01,,25601600,5.0,16.0,12,,40.0,35.0,116.0,585.0,740.0,TSMC,NVIDIA,284.2,23.68,122
69,108,1366768,600,12.0,256,Nvidia,23,1024,28.8,128,900,3,GeForce GT 525M,4.5,,2,,40,4,2011-05-01,,25601600,5.0,16.0,10,,40.0,23.0,116.0,585.0,600.0,TSMC,NVIDIA,230.4,19.2,122
70,119,1024768,740,12.0,128,Nvidia,12,1024,12.8,64,800,3,GeForce GT 520M,4.5,,3,,40,4,2011-05-01,,25601600,5.0,8.0,6,,40.0,12.0,79.0,292.0,740.0,TSMC,NVIDIA,142.1,11.84,122
71,119,1024768,740,12.0,128,Nvidia,12,1024,12.8,64,800,3,GeForce GT 520M,4.5,,3,,40,4,2011-05-01,,25601600,5.0,8.0,6,,40.0,12.0,116.0,585.0,672.0,TSMC,NVIDIA,129.0,10.75,122
72,92-10-,,585,10.0,0,Nvidia,75,1024,60.8,256,950,3,GeForce GTX 280M,3.3,,9,,55,16,2009-01-01,,25601600,4.0,64.0,37,,65.0,75.0,324.0,754.0,585.0,TSMC,NVIDIA,374.5,,218
73,92-10-1-1,,600,10.0,0,Nvidia,75,1024,64,256,1000,3,GeForce GTX 285M,3.3,,10,,65,16,2010-01-01,,25601600,4.0,64.0,38,,65.0,75.0,324.0,754.0,600.0,TSMC,NVIDIA,384.0,,197
74,92-10-,,550,10.0,0,Nvidia,65,1024,60.8,256,950,3,GeForce GTX 260M,3.3,,9,,65,16,2009-01-01,,25601600,4.0,56.0,31,,65.0,65.0,324.0,754.0,550.0,TSMC,NVIDIA,308.0,,218
75,215-10-,,550,10.1,0,Nvidia,38,1024,57.6,128,900,5,GeForce GTS 260M,3.3,,4,,40,8,2009-01-01,,25601600,4.0,32.0,18,,40.0,38.0,144.0,727.0,550.0,TSMC,NVIDIA,264.0,,218
76,215-10--2,,500,10.1,0,Nvidia,28,1024,51.2,128,800,5,GeForce GTS 250M,3.3,,4,,40,8,2009-01-01,,25601600,4.0,32.0,16,,40.0,28.0,144.0,727.0,500.0,TSMC,NVIDIA,240.0,,218
77,216-10-,,550,10.1,0,Nvidia,23,1024,25.6,128,800,3,GeForce GT 240M,3.3,,4,,40,8,2009-01-01,,25601600,4.0,16.0,9,,40.0,23.0,100.0,486.0,550.0,TSMC,NVIDIA,116.2,,218
78,96,,-,10,0,Nvidia,23,1024,25.6,128,800,3,GeForce GT 130M,2.1,,,,55,,2009-08-01,,25601600,4.0,,,,55.0,23.0,121.0,314.0,600.0,TSMC,NVIDIA,96.0,,211
79,94,,-,10,0,Nvidia,45,1024,64,256,1000,3,GeForce GTS 150M,2.1,,,,55,,2009-02-01,,25601600,4.0,,,,65.0,45.0,240.0,505.0,400.0,TSMC,NVIDIA,128.0,,216
80,96,,-,10,0,Nvidia,23,1024,,128,,3,GeForce GT 120M,2.1,,,,55,,2009-11-01,,25601600,4.0,,,,55.0,14.0,121.0,314.0,500.0,TSMC,NVIDIA,80.0,,209
81,104-12--1,19201080,575,12.0,512,Nvidia,100,2048,96,256,750,5,GeForce GTX 485M,4.5,,18,,40,32,2011-05-01,,25601600,5.0,64.0,37,,40.0,100.0,332.0,1950.0,575.0,TSMC,NVIDIA,883.2,73.6,122
82,104-11-,1600900,535,12.0,384,Nvidia,75,1536,60,192,625,5,GeForce GTX 470M,4.5,,13,,40,24,2010-03-01,,25601600,5.0,48.0,26,,40.0,75.0,332.0,1950.0,535.0,TSMC,NVIDIA,616.3,51.36,186
83,106-11--1,1366768,590,12.0,384,Nvidia,35,3072,38.4,192,800,3,GeForce GT 445M,4.5,,9,,40,16,2010-03-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,570.0,TSMC,NVIDIA,328.3,27.36,186
84,106-11--1,1366768,590,12.0,384,Nvidia,35,3072,38.4,192,800,3,GeForce GT 445M,4.5,,9,,40,16,2010-03-01,,25601600,5.0,24.0,14,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,339.8,28.32,186
85,108-11-,1366768,650,12.0,256,Nvidia,35,1024,25.6,128,800,3,GeForce GT 435M,4.5,,3,,40,4,2010-03-01,,25601600,5.0,16.0,10,,40.0,35.0,238.0,1170.0,590.0,TSMC,NVIDIA,226.6,18.88,186
86,108-11-,1366768,650,12.0,256,Nvidia,35,1024,25.6,128,800,3,GeForce GT 435M,4.5,,3,,40,4,2010-03-01,,25601600,5.0,16.0,10,,40.0,35.0,116.0,585.0,650.0,TSMC,NVIDIA,249.6,20.8,186
87,108-11--1,1366768,560,12.0,256,Nvidia,23,1024,25.6,128,800,3,GeForce GT 425M,4.5,,2,,40,4,2010-03-01,,16001200,5.0,16.0,9,,40.0,23.0,116.0,585.0,560.0,TSMC,NVIDIA,215.0,17.92,186
88,106-11--1,1600900,675,12.0,384,Nvidia,50,1536,60,192,625,5,GeForce GTX 460M,4.5,,16,,40,24,2010-03-01,,25601600,5.0,32.0,22,,40.0,50.0,238.0,1170.0,675.0,TSMC,NVIDIA,518.4,43.2,186
89,119-12-,1366768,575,12.0,128,Nvidia,12,1024,12.8,64,800,3,GeForce 410M,4.5,,2,,40,4,2011-05-01,,25601600,5.0,8.0,5,,40.0,12.0,79.0,292.0,574.0,TSMC,NVIDIA,110.1,9.176,122
90,108-11--1,1366768,500,12.0,256,Nvidia,23,512,25.6,128,800,3,GeForce GT 420M,4.5,,2,,40,4,2010-03-01,,25601600,5.0,16.0,8,,40.0,23.0,116.0,585.0,500.0,TSMC,NVIDIA,192.0,16.0,186
91,108-11-,1366768,500,12.0,128,Nvidia,12,512,25.6,128,800,3,GeForce GT 415M,4.5,,2,,40,4,2010-03-01,,25601600,5.0,8.0,4,,40.0,12.0,116.0,585.0,500.0,TSMC,NVIDIA,96.0,8.0,186
92,215,1440900,-,10.1,0,Nvidia,38,1024,57.6,128,900,5,GeForce GTS 360M,2.1,,4,,40,8,2010-07-01,,25601600,4.1,32.0,18,,40.0,38.0,144.0,727.0,550.0,TSMC,NVIDIA,275.7,,176
93,215,1440900,-,10.1,0,Nvidia,28,1024,51.2,128,800,5,GeForce GTS 350M,2.1,,4,,40,8,2010-07-01,,25601600,4.1,32.0,16,,40.0,28.0,144.0,727.0,500.0,TSMC,NVIDIA,240.0,,176
94,215,1366768,-,10.1,0,Nvidia,28,1024,34.1,128,1066,3,GeForce GT 335M,2.1,,4,,40,8,2010-07-01,,25601600,4.1,24.0,11,,40.0,28.0,144.0,727.0,450.0,TSMC,NVIDIA,155.5,,176
95,216,1366768,-,10.1,0,Nvidia,23,1024,34.1,128,1066,3,GeForce GT 330M,2.1,,5,,40,8,2010-10-01,,25601600,4.1,16.0,9,,40.0,23.0,100.0,486.0,575.0,TSMC,NVIDIA,121.4,,162
96,216,1366768,-,10.1,0,Nvidia,23,1024,34.1,128,1066,3,GeForce GT 325M,2.1,,4,,40,8,2010-10-01,,25601600,4.1,16.0,7,,40.0,23.0,100.0,486.0,450.0,TSMC,NVIDIA,95.04,,162
97,89,1024768,450,10.0,0,Nvidia,23,,21.3,128,667,3,GeForce 320M,3.3,,4,,40,8,2010-01-01,,25601600,4.1,16.0,7,,40.0,23.0,100.0,486.0,450.0,Unknown,NVIDIA,91.2,,197
98,218-11-1,1024768,625,10.1,0,Nvidia,14,512,12.6,64,790,3,GeForce 310M,3.3,,3,,40,4,2010-10-01,,25601600,4.1,8.0,5,,40.0,14.0,57.0,260.0,606.0,TSMC,NVIDIA,48.96,,162
99,218-11-1,1024768,625,10.1,0,Nvidia,14,512,12.6,64,790,3,GeForce 310M,3.3,,3,,40,4,2010-10-01,,25601600,4.1,8.0,5,,40.0,14.0,57.0,260.0,625.0,TSMC,NVIDIA,48.96,,162
